Indicator,Group,State,Subgroup,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Start_Date,End_Date,period,total_cases,avg_cases
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,Oct 14 - Oct 26,5.4,4.9,6,4.9 - 6.0,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,Oct 14 - Oct 26,3,2.4,3.8,2.4 - 3.8,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,Oct 14 - Oct 26,5.5,2.7,9.9,2.7 - 9.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,Oct 14 - Oct 26,8.3,7.6,8.9,7.6 - 8.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,Oct 14 - Oct 26,12.7,12.1,13.2,12.1 - 13.2,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Oct 14 - Oct 26,2.9,2.5,3.2,2.5 - 3.2,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Oct 14 - Oct 26,23.3,22.4,24.3,22.4 - 24.3,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Oct 14 - Oct 26,10.8,9.5,12.2,9.5 - 12.2,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Oct 14 - Oct 26,10.3,9.8,10.8,9.8 - 10.8,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Oct 14 - Oct 26,11.2,9.5,13.1,9.5 - 13.1,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Oct 14 - Oct 26,7,5.5,8.7,5.5 - 8.7,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Oct 14 - Oct 26,16.4,13.5,19.7,13.5 - 19.7,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,Oct 14 - Oct 26,9.9,7.5,12.8,7.5 - 12.8,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,Oct 14 - Oct 26,8.4,7.2,9.6,7.2 - 9.6,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Oct 14 - Oct 26,12.9,12.2,13.6,12.2 - 13.6,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Oct 14 - Oct 26,10.5,10,11,10.0 - 11.0,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,Oct 14 - Oct 26,7.7,5.8,9.9,5.8 - 9.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,Oct 14 - Oct 26,11.3,9.3,13.6,9.3 - 13.6,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,Oct 14 - Oct 26,10.5,8.5,12.9,8.5 - 12.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,Oct 14 - Oct 26,10.5,7.8,13.7,7.8 - 13.7,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,Oct 14 - Oct 26,12,10,14.1,10.0 - 14.1,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,Oct 14 - Oct 26,14.1,12.1,16.2,12.1 - 16.2,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,Oct 14 - Oct 26,8.7,6.4,11.5,6.4 - 11.5,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,Oct 14 - Oct 26,12.4,8.4,17.3,8.4 - 17.3,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,Oct 14 - Oct 26,13.8,9,20,9.0 - 20.0,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,Oct 14 - Oct 26,10.2,8.4,12.4,8.4 - 12.4,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,Oct 14 - Oct 26,12.5,10,15.5,10.0 - 15.5,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,Oct 14 - Oct 26,7.3,5.2,9.9,5.2 - 9.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,Oct 14 - Oct 26,10,8.2,12.1,8.2 - 12.1,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,Oct 14 - Oct 26,8.7,7,10.7,7.0 - 10.7,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,Oct 14 - Oct 26,9.9,8.4,11.7,8.4 - 11.7,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,Oct 14 - Oct 26,9.5,7,12.6,7.0 - 12.6,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,Oct 14 - Oct 26,9.4,7.1,12.1,7.1 - 12.1,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,Oct 14 - Oct 26,9.9,7.4,13,7.4 - 13.0,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,Oct 14 - Oct 26,9.7,7.1,12.9,7.1 - 12.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,Oct 14 - Oct 26,10.3,7.7,13.3,7.7 - 13.3,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,Oct 14 - Oct 26,9.9,7.8,12.3,7.8 - 12.3,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,Oct 14 - Oct 26,10.8,9,12.8,9.0 - 12.8,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,Oct 14 - Oct 26,12.8,10.2,15.9,10.2 - 15.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,Oct 14 - Oct 26,8.1,6.6,9.8,6.6 - 9.8,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,Oct 14 - Oct 26,13.1,10.1,16.6,10.1 - 16.6,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,Oct 14 - Oct 26,12.8,10.5,15.3,10.5 - 15.3,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,Oct 14 - Oct 26,10.3,7.9,13.1,7.9 - 13.1,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,Oct 14 - Oct 26,9.3,7.5,11.4,7.5 - 11.4,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,Oct 14 - Oct 26,12.9,9.9,16.5,9.9 - 16.5,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,Oct 14 - Oct 26,7.8,5.8,10.2,5.8 - 10.2,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,Oct 14 - Oct 26,9,6.9,11.4,6.9 - 11.4,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,Oct 14 - Oct 26,11.8,8.8,15.4,8.8 - 15.4,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,Oct 14 - Oct 26,9.3,7.5,11.4,7.5 - 11.4,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,Oct 14 - Oct 26,11,7.8,15.1,7.8 - 15.1,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,Oct 14 - Oct 26,5.7,3.5,8.6,3.5 - 8.6,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,Oct 14 - Oct 26,11.9,8.9,15.5,8.9 - 15.5,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,Oct 14 - Oct 26,12.1,9.9,14.6,9.9 - 14.6,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,Oct 14 - Oct 26,12.8,10.5,15.4,10.5 - 15.4,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Oct 14 - Oct 26,9.3,6.7,12.6,6.7 - 12.6,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,Oct 14 - Oct 26,12.2,8.7,16.5,8.7 - 16.5,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,Oct 14 - Oct 26,8.8,6.1,12.1,6.1 - 12.1,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,Oct 14 - Oct 26,4.9,3.2,7.1,3.2 - 7.1,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,Oct 14 - Oct 26,9.9,8.1,12,8.1 - 12.0,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,Oct 14 - Oct 26,9.9,8.2,12,8.2 - 12.0,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,Oct 14 - Oct 26,10.3,8.9,11.9,8.9 - 11.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,Oct 14 - Oct 26,9.7,7.2,12.8,7.2 - 12.8,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,Oct 14 - Oct 26,10,8,12.3,8.0 - 12.3,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,Oct 14 - Oct 26,11,9.3,12.9,9.3 - 12.9,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,Oct 14 - Oct 26,8.1,5.6,11.4,5.6 - 11.4,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,Oct 14 - Oct 26,10.6,8.6,12.8,8.6 - 12.8,2020-10-14,2020-10-26,17,800082,66673.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,Oct 14 - Oct 26,9.1,6.8,11.9,6.8 - 11.9,2020-10-14,2020-10-26,17,800082,66673.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,Oct 28 - Nov 9,20.8,20.2,21.5,20.2 - 21.5,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,Oct 28 - Nov 9,21,18.5,23.7,18.5 - 23.7,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,Oct 28 - Nov 9,22.3,20.8,23.9,20.8 - 23.9,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,Oct 28 - Nov 9,20.3,19.3,21.4,19.3 - 21.4,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,Oct 28 - Nov 9,21.4,20.2,22.7,20.2 - 22.7,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,Oct 28 - Nov 9,21.5,20,23.1,20.0 - 23.1,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,Oct 28 - Nov 9,18.4,16.6,20.3,16.6 - 20.3,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,Oct 28 - Nov 9,13.6,9.8,18.1,9.8 - 18.1,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,Oct 28 - Nov 9,15.2,14.3,16.2,14.3 - 16.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,Oct 28 - Nov 9,25.9,24.9,26.9,24.9 - 26.9,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Oct 28 - Nov 9,11.8,11.1,12.5,11.1 - 12.5,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Oct 28 - Nov 9,33.7,32.4,35.2,32.4 - 35.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Oct 28 - Nov 9,16.9,14.7,19.2,14.7 - 19.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Oct 28 - Nov 9,23.4,22.6,24.2,22.6 - 24.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Oct 28 - Nov 9,14.2,12.4,16.2,12.4 - 16.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Oct 28 - Nov 9,9.7,7.7,12.1,7.7 - 12.1,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Oct 28 - Nov 9,24.2,20.9,27.7,20.9 - 27.7,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,Oct 28 - Nov 9,15.8,12.7,19.3,12.7 - 19.3,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,Oct 28 - Nov 9,20.1,18.3,21.9,18.3 - 21.9,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Oct 28 - Nov 9,23.2,22.1,24.3,22.1 - 24.3,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Oct 28 - Nov 9,20.3,19.7,21,19.7 - 21.0,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,Oct 28 - Nov 9,25.2,20.6,30.4,20.6 - 30.4,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,Oct 28 - Nov 9,18.3,15.3,21.6,15.3 - 21.6,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,Oct 28 - Nov 9,19.6,16,23.6,16.0 - 23.6,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,Oct 28 - Nov 9,23.6,19.7,28,19.7 - 28.0,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,Oct 28 - Nov 9,18.3,15.2,21.8,15.2 - 21.8,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,Oct 28 - Nov 9,22.6,19.4,26,19.4 - 26.0,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,Oct 28 - Nov 9,23.8,18.9,29.1,18.9 - 29.1,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,Oct 28 - Nov 9,22.7,17.5,28.5,17.5 - 28.5,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,Oct 28 - Nov 9,19.7,13.5,27.2,13.5 - 27.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,Oct 28 - Nov 9,19.6,16.5,22.9,16.5 - 22.9,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,Oct 28 - Nov 9,20.6,16.8,24.8,16.8 - 24.8,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,Oct 28 - Nov 9,14.2,10.2,18.9,10.2 - 18.9,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,Oct 28 - Nov 9,21.4,17.9,25.2,17.9 - 25.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,Oct 28 - Nov 9,21.9,17.8,26.3,17.8 - 26.3,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,Oct 28 - Nov 9,23.9,20,28.1,20.0 - 28.1,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,Oct 28 - Nov 9,25.6,21.6,29.9,21.6 - 29.9,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,Oct 28 - Nov 9,23.7,20.2,27.5,20.2 - 27.5,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,Oct 28 - Nov 9,25,19.9,30.7,19.9 - 30.7,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,Oct 28 - Nov 9,25.3,20.2,30.9,20.2 - 30.9,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,Oct 28 - Nov 9,21.7,16.9,27.2,16.9 - 27.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,Oct 28 - Nov 9,20,16.9,23.3,16.9 - 23.3,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,Oct 28 - Nov 9,22.1,18.3,26.3,18.3 - 26.3,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,Oct 28 - Nov 9,22.7,18,28,18.0 - 28.0,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,Oct 28 - Nov 9,21.5,18.9,24.2,18.9 - 24.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,Oct 28 - Nov 9,20.1,13.5,28,13.5 - 28.0,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,Oct 28 - Nov 9,21,18.2,24.2,18.2 - 24.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,Oct 28 - Nov 9,18.8,14.3,24,14.3 - 24.0,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,Oct 28 - Nov 9,23.8,18.7,29.5,18.7 - 29.5,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,Oct 28 - Nov 9,19.9,15.8,24.5,15.8 - 24.5,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,Oct 28 - Nov 9,20.9,17.1,25.1,17.1 - 25.1,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,Oct 28 - Nov 9,17.5,13.7,21.8,13.7 - 21.8,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,Oct 28 - Nov 9,24.9,19.2,31.4,19.2 - 31.4,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,Oct 28 - Nov 9,13.7,11,16.7,11.0 - 16.7,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,Oct 28 - Nov 9,20.4,16.6,24.7,16.6 - 24.7,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,Oct 28 - Nov 9,21.3,17.5,25.4,17.5 - 25.4,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,Oct 28 - Nov 9,22.5,18.2,27.3,18.2 - 27.3,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,Oct 28 - Nov 9,23.9,19.1,29.2,19.1 - 29.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,Oct 28 - Nov 9,22.2,19.3,25.3,19.3 - 25.3,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Oct 28 - Nov 9,26.4,23.1,30,23.1 - 30.0,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,Oct 28 - Nov 9,24.2,20,28.7,20.0 - 28.7,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,Oct 28 - Nov 9,23.3,17.9,29.4,17.9 - 29.4,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,Oct 28 - Nov 9,19.1,15,23.8,15.0 - 23.8,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,Oct 28 - Nov 9,21.6,18.4,25.2,18.4 - 25.2,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,Oct 28 - Nov 9,19.6,16.5,23,16.5 - 23.0,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,Oct 28 - Nov 9,24.9,22.3,27.7,22.3 - 27.7,2020-10-28,2020-11-09,18,1257384,104782
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,Oct 28 - Nov 9,27.4,21.5,33.9,21.5 - 33.9,2020-10-28,2020-11-09,18,1257384,104782
